Id,Date,Time,Temperature,Stabilized,Total[ppm],Total[cpm],K[%],K[cpm],U[ppm],U[cpm],Th[ppm],Th[cpm],Dose,Dose units,Latitude,Longitude,Altitude,Section,Height,notes,
118,8150,1/27/2019,10:00:50,22.5,1,169.8,1402.4,2,124.8,2.8,21.2,6.7,12.5,6.8, uR/h,0,0,0,1,29,shale
119,8151,1/27/2019,10:00:50,22.3,1,126.3,1042.9,1.4,85.1,1.5,11.8,3.9,7.3,4.3, uR/h,0,0,0,1,29.25,base of thick 28cm sand
120,8152,1/27/2019,10:00:50,22.4,1,204.2,1686.9,2.6,151,0.7,19.1,13,23,8.3, uR/h,0,0,0,1,29.75,"shale, 50cm gap between 151 and 152"
121,8153,1/27/2019,10:00:50,22.3,1,223.4,1844.8,3.3,185.5,0.7,18.1,12.3,21.9,9.1, uR/h,0,0,0,1,30,shale
122,8154,1/27/2019,10:00:50,22.1,1,219.4,1812.4,2.6,162.5,2.6,25.4,10.9,19.8,8.9, uR/h,0,0,0,1,30.25,"sand, 15cm possiby messed up, (bed B13)"
123,8155,1/27/2019,10:00:50,22.1,1,239.1,1974.5,3.1,176.1,0.6,16,11.1,19.8,8.5, uR/h,0,0,0,1,30.5,shale
124,8156,1/27/2019,10:00:50,22.1,1,247.5,2044.6,2.9,178.2,3.6,28.5,9.5,17.7,9.5, uR/h,0,0,0,1,30.75,shale
125,8157,1/27/2019,10:00:50,22.1,1,239.8,1980.7,3.1,176.1,1.7,18.1,8.5,15.6,8.3, uR/h,0,0,0,1,31.05,"shale, 30 cm gap between 156 and 157 (water)"
126,8158,1/27/2019,10:00:50,22.1,1,228,1883.5,3,168.8,2.3,17.1,5.4,10.4,7.5, uR/h,0,0,0,1,31.3,shale
127,8159,1/27/2019,10:00:50,22.1,1,239.3,1976.5,3,181.3,3.3,25.4,8.3,15.6,9.1, uR/h,0,0,0,1,31.55,shale
128,8160,1/27/2019,10:00:50,22.1,1,215.4,1778.7,2.7,159.3,1.2,19.1,11.1,19.8,8.2, uR/h,0,0,0,1,31.8,"sand, 10cm"
129,8161,1/27/2019,10:00:50,22.1,1,173.2,1430.6,1.5,100.8,3.2,23.3,6.7,12.5,6.2, uR/h,0,0,0,1,32.05,"sand, 15cm, different sand"
130,8162,1/27/2019,10:00:50,22.3,1,189.4,1564.5,2.2,136.3,2,21.2,9.8,17.7,7.6, uR/h,0,0,0,1,32.3,"shale, (bed b15? Between 161 and 162)"
131,8163,1/27/2019,10:00:50,23.5,1,139.8,1154.7,1.4,89.3,2.2,17,5.6,10.4,5.1, uR/h,0,0,0,1,32.55,"sand, 8cm"
132,8164,1/27/2019,10:00:50,23.5,1,221.6,1830.4,2.3,152.1,4.3,32.7,10.1,18.8,9.2, uR/h,0,0,0,1,32.8,shale
133,8165,1/27/2019,10:00:50,23.3,1,159.9,1320.8,2,111.2,0,8.7,10.2,17.7,6.1, uR/h,0,0,0,1,33.05,"sand, 15cm"
134,8166,1/27/2019,10:00:50,23.3,1,117.5,970.7,1.1,74.7,0.8,15,8.9,15.6,5, uR/h,0,0,0,1,33.3,"sand, base 27cm, large mud chips near top of bed"
135,8167,1/27/2019,10:00:50,23.1,1,143.5,1185,1.7,103.9,1.9,17,6.9,12.5,5.8, uR/h,0,0,0,1,33.55,shale/sand
136,8168,1/27/2019,10:00:50,23.3,1,200.4,1655.5,2.6,154.1,0.8,21.2,14.2,25,8.7, uR/h,0,0,0,1,33.75,"sand/shale, 20 cm between 167 and 168"
137,8169,1/27/2019,10:00:50,23.3,1,180.6,1491.3,2.2,134.2,1.9,19.1,8.6,15.6,7.1, uR/h,0,0,0,1,34,shale
138,8170,1/27/2019,10:00:50,23.3,1,90.2,745.1,0.3,31.9,1.5,13.9,5.3,9.4,3, uR/h,0,0,0,1,34.25,"sand, base of thick 112cm"
139,8171,1/27/2019,10:00:50,23.3,1,85.3,704.4,0.7,52.7,2.8,14.9,1.4,3.1,3.2, uR/h,0,0,0,1,34.5,sand
140,8172,1/27/2019,10:00:50,23.3,1,96.9,800.5,0.3,42.3,3.7,22.3,3.8,7.3,3.9, uR/h,0,0,0,1,34.75,sand
141,8173,1/27/2019,10:00:50,23.2,1,126.3,1042.9,1.3,83,0,13.9,11.5,19.8,5.5, uR/h,0,0,0,1,35,sand
142,8174,1/27/2019,10:00:50,22.3,1,162.3,1340.7,1.9,114.4,2.3,16,4.3,8.3,5.6, uR/h,0,0,0,1,35.5,"sand/shale, 50cm gap of shale between 173 and 174"
143,8175,1/27/2019,10:00:50,22.4,1,140.2,1157.8,1.6,102.9,2.9,18.1,3.7,7.3,5.4, uR/h,0,0,0,1,35.75,sand/muddy
144,8176,1/27/2019,10:00:50,22.4,1,242,1998.8,3.2,187.6,2.1,22.3,10.3,18.8,9.3, uR/h,0,0,0,1,36,shale
145,8177,1/27/2019,10:00:50,22.3,1,274.3,2265.6,3.4,204.4,4.9,29.6,5.6,11.5,9.8, uR/h,0,0,0,1,36.25,shale
146,8178,1/27/2019,10:00:50,22.1,1,192.8,1592.8,2.2,126.9,1.9,16,6.2,11.5,6.3, uR/h,0,0,0,1,36.5,"sand, 5cm"
147,8179,1/27/2019,10:00:50,22.1,1,188,1553,2.5,149.9,2.8,20.2,6,11.5,7.3, uR/h,0,0,0,1,36.75,sand
148,8180,1/27/2019,10:00:50,22.1,1,210.8,1741.2,2.8,174,3.4,26.5,9,16.7,9.1, uR/h,0,0,0,1,37,shale
149,8181,1/27/2019,10:00:50,22.1,1,198.8,1641.8,2.3,146.8,3.5,26.5,8.4,15.6,8.2, uR/h,0,0,0,1,37.25,sand 5cm
150,8182,1/27/2019,10:00:50,22.1,1,217.3,1794.7,2.1,145.8,4.7,33.8,9.5,17.7,9, uR/h,0,0,0,1,37.5,shale
151,8183,1/27/2019,10:00:50,22.1,1,231.8,1914.9,2.4,157.3,4.1,31.7,10.2,18.8,9.2, uR/h,0,0,0,1,37.75,shale
152,8184,1/27/2019,10:00:50,22.1,1,231.7,1913.8,2.8,179.2,4.2,31.7,10.1,18.8,9.9, uR/h,0,0,0,1,38,shale
153,8185,1/27/2019,10:00:50,22.1,1,244.5,2019.4,2.3,163.5,6.8,41.1,7.4,14.6,9.9, uR/h,0,0,0,1,38.25,shale
154,8186,1/27/2019,10:00:50,22.1,1,244.6,2020.6,2.9,171.9,2.2,24.4,11.6,20.9,9.2, uR/h,0,0,0,1,38.5,shale
155,8187,1/27/2019,10:00:50,22.1,1,178.8,1476.6,1.8,121.7,2.9,25.4,9.8,17.7,7.5, uR/h,0,0,0,1,38.75,sand 15cm
156,8188,1/27/2019,10:00:50,21.9,1,161.1,1330.3,1.2,85.1,1,21.2,13.2,22.9,6.5, uR/h,0,0,0,1,39,sand with mud chips 18cm
157,8189,1/27/2019,10:00:50,21.7,1,174.6,1442.2,1.7,109.2,3.5,22.3,4.8,9.4,6.1, uR/h,0,0,0,1,39.25,sand
158,8190,1/27/2019,10:00:50,21.7,1,201.7,1666,2.4,146.8,1.2,22.3,13.6,24,8.5, uR/h,0,0,0,1,39.5,sand/shale
